categoria,producto,precio,ingredientes,sabor,perfil,recomendado_con
Smoothies,Mango naranja,16000,"mango,naranja","dulce,cítrico,tropical","refrescante,frutal","sandwich hawaiano,pollo"
Smoothies,Fresa naranja limón,16000,"fresa,naranja,limón","cítrico,dulce","refrescante","postres,fresas chantilli"
Smoothies,Fresa naranja banano,16000,"fresa,naranja,banano","dulce,cremoso","frutal","brownie,sandwich tradicional"
Smoothies,Piña naranja mora,16000,"piña,naranja,mora","ácido,tropical","refrescante","ensaladas,salmón"
Smoothies,Piña naranja banano,16000,"piña,naranja,banano","tropical,cremoso","frutal","sandwich hawaiano"

Cervezas,BBC,12000,"malta,lúpulo","amargo,artesanal","cerveza artesanal","carnes,nachos"
Cervezas,3 Cordilleras,12000,"malta,lúpulo","intenso,artesanal","cerveza fuerte","brocheta de cerdo"
Cervezas,Club Colombia,9000,"malta","suave,balanceado","lager","sandwiches"
Cervezas,Corona,12000,"malta,lúpulo","ligero,cítrico","refrescante","ensaladas,salmón"
Cervezas,Stella,12000,"malta,lúpulo","elegante,seco","premium lager","combinado ibérico"

Cócteles,Colimocho,28000,"vino tinto,gaseosa","dulce,afrutado","suave","tapas ibéricas"
Cócteles,Tinto de verano,26000,"vino tinto,gaseosa,cítricos","refrescante,dulce","ligero","ensalada,salmón"
Cócteles,Mojito,27000,"ron,limón,hierbabuena","mentolado,cítrico","refrescante","cazuelas,nachos"
Cócteles,Cuba libre,26000,"ron,cola,limón","dulce,fuerte","clásico","carnes"
Cócteles,Muller,25000,"licor,frutas","dulce,frutal","suave","postres"
Cócteles,Margarita,26000,"tequila,limón","cítrico,fuerte","coctel clásico","nachos"

Sangría,Copa sangría,25000,"vino tinto,fresa,naranja,manzana","frutal,dulce","refrescante","tapas ibéricas"
Sangría,Jarra x2,40000,"vino tinto,fresa,naranja,manzana","frutal,dulce","compartir","entradas"
Sangría,Jarra x5,70000,"vino tinto,fresa,naranja,manzana","frutal,dulce","grupal","combinado ibérico"

Vino,Vino casa,20000,"vino tinto","seco,frutal","vino tinto","carnes"
Vino,Vino rosado,22000,"vino rosado","suave,dulce","ligero","ensaladas"
Vino,Vino blanco,23000,"vino blanco","cítrico,seco","refrescante","salmón"
Vino,Merlot,25000,"uva merlot","robusto,frutal","vino premium","solomito"

Entradas,Maíz sencillo,22000,"maíz,queso,sal,pimienta","salado,cremoso","snack","cervezas"
Entradas,Maíz especial,28000,"maíz,pollo,tocineta,queso,crema de leche","cremoso,salado","abundante","mojito"
Entradas,Nachos,18000,"nachos,queso cheddar,mozzarella,guacamole","salado","mexicano","margarita"
