categoria,producto,precio
Sopas,Sancocho de gallina,22000
Sopas,Mondongo,20000
Sopas,Caldo de costilla,18000
Sopas,Sopa de lentejas,16000
Sopas,Sopa de fríjoles,16000
Platos fuertes,Fritanga,38000
Platos fuertes,Bandeja paisa,35000
Platos fuertes,Ajiaco,25000
Platos fuertes,Posta negra,32000
Platos fuertes,Pechuga a la plancha,28000
Platos fuertes,Trucha al ajillo,34000
Entradas,Chicharrón,14000
Entradas,Arepa con hogao,8000
Entradas,Empanadas,10000
Entradas,Patacones con guacamole,12000
Postres,Natilla,9000
Postres,Buñuelos,8000
Postres,Arroz con leche,9000
Postres,Postre de natas,10000
Bebidas,Jugo de maracuyá,8000
Bebidas,Jugo de lulo,8000
Bebidas,Jugo de guanábana,8000
Bebidas,Chocolate caliente,7000
Bebidas,Agua de panela,5000
Bebidas,Chicha de maíz,6000
